ID_URU,Nombre,Categoría,Grupo,Estado Verificación,Dirección
URU-00318,Emporio Ferretero,Ferretería,compras,Verificado (auditoría web múltiples fuentes),"9 de Julio 1555, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00321,La Casa del Bulon,Ferretería,compras,Verificado (auditoría web múltiples fuentes),"Gral. Galarza 1425, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00322,Ferrolatina,Ferretería,compras,Verificado (auditoría web múltiples fuentes),"Bulevar Sansoni 2165, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00323,Ferreteria Bocha,Ferretería,compras,Verificado (auditoría web múltiples fuentes),"Posadas 1630, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00324,Ferreteria El Peregrino,Ferretería,compras,Verificado (auditoría web - fuente única),"Sarmiento 1520, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-00328,Power Gym (Blvd. Yrigoyen),Gimnasio,deporte,Verificado (auditoría web múltiples fuentes),"Blvd. Hipólito Yrigoyen 1626, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00331,Chipper Fitness Club,Gimnasio,deporte,"Verificado (auditoría web - fuente única, sin dirección confirmada)",
URU-00332,La Roca,Gimnasio,deporte,Verificado (auditoría web múltiples fuentes),"Ing. Henry 391, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00333,Titanium Real Evolution,Gimnasio,deporte,Verificado con diferencias (nombre parcial),
URU-00335,Dieciocho Salón de Profesionales,Barbería,belleza,Verificado (auditoría web múltiples fuentes),"España 87, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00337,Mr Anderson Barber Team (Posadas),Barbería,belleza,Verificado (auditoría web múltiples fuentes),"Posadas 897, E3260, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00339,Melina Firpo Estilista y Colorista,Peluquería,belleza,"Verificado (auditoría web - fuente única, sin dirección confirmada)",
URU-00344,Geiser Barbería,Barbería,belleza,Verificado (auditoría web múltiples fuentes),"Rocamora 402, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00345,Mr Anderson Barber Team (Balbín),Barbería,belleza,Verificado (auditoría web múltiples fuentes),"Balbín 1731, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00352,Glow Up Estética,Centro de estética,belleza,,
URU-00353,Belleza y Estética Vitta,Centro de estética,belleza,,
URU-00354,Amancay Estética y Nutrición,Centro de estética,belleza,,
URU-00355,Roma Centro de estética,Centro de estética,belleza,,
URU-00356,Termas Concepción de Entre Ríos,Termas,alojamiento,Verificado (auditoría web múltiples fuentes),"Ruta Nacional 14, Km 129, Concepción del Uruguay, Entre Ríos, Argentina"
URU-00963,Complejo Aguas Claras,Termas,alojamiento,REQUIERE_CONFIRMACION_MANUAL,"Zona noroeste, Concepción del Uruguay, Entre Ríos, Argentina (dirección exacta pendiente de confirmación)"
URU-00969,Desembocadura Arroyo La China,Arroyo,naturaleza,REQUIERE_CONFIRMACION_MANUAL,"Cercanías del puente de acceso a Isla del Puerto, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01068,Friendsn Productos Caseros,Comida para llevar,gastronomia,NUEVO_2026,"Celia Torra 1077 PA, Concepción del Uruguay, Entre Ríos"
URU-01073,Trapos,Indumentaria,compras,NUEVO_2026,"Bv. Ricardo Balbín 2337, Concepción del Uruguay, Entre Ríos"
URU-01079,Semillerías y Veterinaria Agro Sur,Agroveterinaria,mascotas,Verificado (auditoría web - directorio comercial),"9 de Julio 1454, Concepción del Uruguay, Entre Ríos"
URU-01081,Entrenamiento Funcional Strong Training,Gimnasio/Entrenamiento funcional,deporte,NUEVO_2026,"Rocamora 685, Peatonal, Planta Alta, Concepción del Uruguay, Entre Ríos"
URU-01084,Guay - Ari,Pizzería/Restaurante,gastronomia,NUEVO_2026,"Além 148, Concepción del Uruguay, Entre Ríos"
URU-01087,Ardoy & Haddad Abogados,Estudio Jurídico,finanzas,NUEVO_2026,"H. J. D. Perón 560, Concepción del Uruguay, Entre Ríos"
URU-01088,Guillermo Andrés Heis - Contador,Contador Público,finanzas,NUEVO_2026,"E. Gascón 188, Dpto. 3, Concepción del Uruguay, Entre Ríos"
URU-01089,Inmobiliaria Jusid,Inmobiliaria,finanzas,NUEVO_2026,"J. J. Millán 6, Concepción del Uruguay, Entre Ríos"
URU-01093,Centro Médico Ciota,Centro Médico,salud,NUEVO_2026,"F. Alberdi 863, Concepción del Uruguay, Entre Ríos"
URU-01095,Dietética Nutrisabor,Dietética / Comida saludable,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Congreso de Tucumán 115, Concepción del Uruguay, Entre Ríos"
URU-01096,Cantina Paso Corralito,Bar / Restaurante,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Paso Corralito, Concepción del Uruguay, Entre Ríos"
URU-01097,Panadería Café,Panadería / Confitería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Galarza 1261 (frente a la Terminal), Concepción del Uruguay, Entre Ríos"
URU-01098,Panadería Maxim S,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"9 de Julio 919, Concepción del Uruguay, Entre Ríos"
URU-01099,Eben Ezer Panadería,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Barrio La Unión, Calle 53 N°227, Concepción del Uruguay, Entre Ríos"
URU-01100,Panadería y Rotisería Butula,Panadería / Rotisería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Sansoni 2117, Concepción del Uruguay, Entre Ríos"
URU-01101,Panadería San Cayetano,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Constituyentes 651, Concepción del Uruguay, Entre Ríos"
URU-01102,Entre Churros Panaderías,Panadería / Churrería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Malvar y Pintos 579, Concepción del Uruguay, Entre Ríos"
URU-01103,Panadería Comedor Mena,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Las Dalias y Los Tulipanes, Concepción del Uruguay, Entre Ríos"
URU-01104,Panadería Luis Alberto Gossi,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"España 583, Concepción del Uruguay, Entre Ríos"
URU-01105,Panadería Buen Trigo,Panadería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"San Lorenzo 206, Concepción del Uruguay, Entre Ríos"
URU-01106,Panificadora Ni-Ka-Va,Panadería / Panificadora,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Leguizamón 201, Concepción del Uruguay, Entre Ríos"
URU-01107,Dulce Ilusión,Pastelería artesanal,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"San Martín 1256, Concepción del Uruguay, Entre Ríos"
URU-01108,Gula Burgers,Hamburguesería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Posadas 896, Concepción del Uruguay, Entre Ríos"
URU-01109,Mojito Pizza Bar,Pizzería / Bar,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Eva Perón 46, Concepción del Uruguay, Entre Ríos"
URU-01110,Nueva Rotisería El Bufé,Rotisería / Pizzería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Doctor Clark 343, Concepción del Uruguay, Entre Ríos"
URU-01111,Zevra Bar,Bar / Pizzería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Posadas 585, Concepción del Uruguay, Entre Ríos"
URU-01112,La Peatonal,Pizzería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Rocamora y Urquiza, Concepción del Uruguay, Entre Ríos"
URU-01113,Cerveza Artesanal Ámbar,Cervecería artesanal,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"25 de Mayo 181, Concepción del Uruguay, Entre Ríos"
URU-01114,El Buffet,Comidas para llevar / Rotisería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Yrigoyen Hipólito 349, Concepción del Uruguay, Entre Ríos"
URU-01115,Rotisería La Tía Cocina,Rotisería / Comidas para llevar,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Juan Bautista Alberdi 679, Concepción del Uruguay, Entre Ríos"
URU-01116,Rotisería La Familia,Rotisería,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Escuela de Ingenieros 353, Concepción del Uruguay, Entre Ríos"
URU-01117,Rotisería El Bufé,Rotisería / Restaurante con bufé,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Bulevar Irigoyen y Sta. María de Oro, Concepción del Uruguay, Entre Ríos"
URU-01118,Rotisería Fendi,Rotisería / Comidas caseras,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Montonera 137, Concepción del Uruguay, Entre Ríos"
URU-01119,María Eugenia Godoy Repostería Artesanal,Repostería artesanal,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"22 del Oeste Sur 292 (entre Ereño y Henry), Concepción del Uruguay, Entre Ríos"
URU-01120,Viandas Gourmet M.S,Viandas / Catering,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Suipacha 726, Concepción del Uruguay, Entre Ríos"
URU-01121,Grow Brewery,Cervecería artesanal / Pub,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Galarza y Urquiza, Concepción del Uruguay, Entre Ríos"
URU-01122,Ninka Cerveza Artesanal,Cervecería artesanal,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"San Martín 941 (casi Rivadavia), Concepción del Uruguay, Entre Ríos"
URU-01123,Listo El Pollo Cdelu,Pollería / Comida para llevar,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"San Martín 1569, Concepción del Uruguay, Entre Ríos"
URU-01124,Jolie Sofi Comestibles,Sándwiches y ensaladas artesanales,gastronomia,Pendiente de verificación en campo (dirección confirmada por fuentes públicas; sin lat/lng ni rating verificado),"Doctor Uchitel 474, Concepción del Uruguay, Entre Ríos"
URU-01125,Parador Itapé,Parador / Cantina,gastronomia,Pendiente de verificación en campo (confirmado por prensa local; sin lat/lng ni rating verificado),"Balneario Itapé, Concepción del Uruguay, Entre Ríos"
URU-01126,La Vid es Bella,Vinoteca / Wine bar,gastronomia,Pendiente de verificación en campo (confirmado por prensa local; sin lat/lng ni rating verificado),"Galarza 407 esquina Combatientes de Malvinas, Concepción del Uruguay, Entre Ríos"
URU-01127,Cremolatti (sucursal Reibel 45),Heladería,gastronomia,Pendiente de verificación en campo (confirmado por prensa local; sin lat/lng ni rating verificado),"Reibel 45, Concepción del Uruguay, Entre Ríos"
URU-01128,Citra Bar,Bar / Cervecería artesanal,gastronomia,Pendiente de verificación en campo (confirmado por prensa local; sin lat/lng ni rating verificado),"San Martín y Juan Perón (esquina Plaza Ramírez), Concepción del Uruguay, Entre Ríos"
URU-01199,Neo. Soluciones en Cobranzas,Estudio jurídico,finanzas,Pendiente verificación en Google Maps,"Blanchet 265, Concepción del Uruguay, Entre Ríos"
URU-01200,Estudio Jurídico Mariana Lima y Asociados,Abogado,finanzas,Pendiente verificación en Google Maps,
URU-01201,Elvira E. Barbieri,Abogado,finanzas,Pendiente verificación en Google Maps,"Alberdi 421, Concepción del Uruguay, Entre Ríos"
URU-01202,Martínez Jorge Tito,Abogado,finanzas,Pendiente verificación en Google Maps,
URU-01203,Estudio Contable y Gestoría del Automotor Cazzulino,Estudio contable/consultoría,finanzas,Pendiente verificación en Google Maps,"Ereño 518, Concepción del Uruguay, Entre Ríos"
URU-01204,Thea Juan A. y Pinilla Luis M.,Estudio contable/consultoría,finanzas,Pendiente verificación en Google Maps,
URU-01205,Buffa María Magdalena,Contador público,finanzas,Pendiente verificación en Google Maps,
URU-01206,Estudio Contable Tourfini C. Mauricio,Estudio contable/consultoría,finanzas,Pendiente verificación en Google Maps,
URU-01209,Gestoría del Automotor de Noemi Poetto,Gestoría,finanzas,Pendiente verificación en Google Maps,"Dr. Scelzi 821, Concepción del Uruguay, Entre Ríos"
URU-01210,Walter Barcos - Gestión Inmobiliaria,Inmobiliaria,finanzas,Pendiente verificación en Google Maps,
URU-01211,ArquiDiseño,Estudio de arquitectura,finanzas,Pendiente verificación en Google Maps,"Urquiza 106, Concepción del Uruguay, Entre Ríos"
URU-01212,"Cardoso, Patricia Elizabeth",Estudio de arquitectura,finanzas,Pendiente verificación en Google Maps,"Congreso de Tucumán 162, Concepción del Uruguay, Entre Ríos"
URU-01213,Morsentti Pamela V.,Estudio de arquitectura,finanzas,Pendiente verificación en Google Maps,"Bolívar 81, Concepción del Uruguay, Entre Ríos"
URU-01214,Berguella Carolina - Coria Fernanda,Estudio de arquitectura,finanzas,Pendiente verificación en Google Maps,"Henry 699, Concepción del Uruguay, Entre Ríos"
URU-01215,Dodera Claudia de Lourdes,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Bº Irigoyen 1655, Concepción del Uruguay, Entre Ríos"
URU-01216,Gaggino Gonzalo,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Congreso de Tucumán 384, Concepción del Uruguay, Entre Ríos"
URU-01217,Marco Gastón,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Almafuerte 777, Concepción del Uruguay, Entre Ríos"
URU-01218,Ríos Carlos Gabriel,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"9 de Julio 907, Concepción del Uruguay, Entre Ríos"
URU-01219,Domínguez Diego Hernán,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Alberdi 2233, Concepción del Uruguay, Entre Ríos"
URU-01220,Díaz Clarisa María de los Ángeles,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Sarmiento 1788, Concepción del Uruguay, Entre Ríos"
URU-01221,Silva Walter Fernando,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Isaías Torres 333, Concepción del Uruguay, Entre Ríos"
URU-01222,Azario Marcela Sonia,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Martín Reibel 20, Concepción del Uruguay, Entre Ríos"
URU-01223,Février María Sol Eugenia,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Eva Perón 194, Dpto. 2, Concepción del Uruguay, Entre Ríos"
URU-01224,Sánchez Cebola Fernando Antonio,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Linares Cardozo 128, Concepción del Uruguay, Entre Ríos"
URU-01225,Zalazar Flavio Raúl,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Belgrano 1105 (Bº La Estación), Concepción del Uruguay, Entre Ríos"
URU-01226,Sánchez Lucero Alberto Esteban,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Benito Cook 106, Concepción del Uruguay, Entre Ríos"
URU-01227,Neuman Carlos Andrés,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Metz y San Martín 1795, Concepción del Uruguay, Entre Ríos"
URU-01228,Carelli Nicolás Marcelo,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Dr. Scelzi 06, Concepción del Uruguay, Entre Ríos"
URU-01229,González María Victoria,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Lucilo López 475, Concepción del Uruguay, Entre Ríos"
URU-01230,Marco Carlos Alberto,Martillero público / Corredor inmobiliario,finanzas,Verificado - padrón oficial vigente,"Rocamora 122, Concepción del Uruguay, Entre Ríos"
URU-01232,Nadia Vanina Telis,Abogado,finanzas,Pendiente verificación en Google Maps - sin dirección,
URU-01233,Leo Computación,Servicio técnico informático,compras,Pendiente verificación en Google Maps,"A. Larroque 399, Concepción del Uruguay, Entre Ríos"
URU-01234,RedSis - Soluciones Informáticas,Servicio técnico informático,compras,Pendiente verificación en Google Maps,"B. Tibiletti 678, Depto. 5, Concepción del Uruguay, Entre Ríos"
URU-01235,Video Juegos Star,Reparación de consolas,compras,Pendiente verificación en Google Maps,"D. Irigoyen 1356, Concepción del Uruguay, Entre Ríos"
URU-01236,Proa Informática,Servicio técnico informático,compras,Dirección y teléfono verificados - coordenadas pendientes (requiere Google Maps),"España 14, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-01237,Guenoa Soluciones Informáticas,Consultoría informática,compras,Dirección y teléfono verificados - coordenadas pendientes (requiere Google Maps),"Alberdi 865, E3260 Concepción del Uruguay, Entre Ríos, Argentina"
URU-01238,Di-Ser Informática,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01239,ABH Informática,Servicio técnico informático,compras,Dirección y teléfono verificados - coordenadas pendientes (requiere Google Maps),"14 de Julio 15, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01240,Cluster Informática,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01241,GC Computers,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01242,AYG Computación,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01243,Trusted Informatics,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01244,Full Servis,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01245,Tec Support,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01246,Mjm Computación,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01247,Pc Tuning,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01248,Running PC,Tecnología / Electrónica,compras,Dirección y teléfono verificados - coordenadas pendientes (requiere Google Maps),"CSC Dr. Dodero 219, Concepción del Uruguay, Entre Ríos, Argentina (dirección alternativa reportada: Alberti y 21 de Noviembre, sin confirmar cuál es la vigente)"
URU-01249,Electrans Reparaciones,Tecnología / Electrónica,compras,Pendiente verificación en Google Maps,
URU-01250,LTV Service,Reparación de televisores,compras,Pendiente verificación en Google Maps,
URU-01251,Softec Servicio Técnico,Reparación de celulares,compras,Pendiente verificación en Google Maps,
URU-01252,PC Service,Servicio técnico informático,compras,Pendiente verificación en Google Maps,
URU-01255,Reco y Toto Publicidad,Publicidad / Cartelería,compras,Pendiente verificación en Google Maps,
URU-01256,Neocolor S.R.L.,Publicidad / Cartelería,compras,Pendiente verificación en Google Maps,
URU-01257,Plotter Factory,Publicidad / Cartelería,compras,Pendiente verificación en Google Maps,
URU-01258,Plot Graphics,Publicidad / Cartelería,compras,Pendiente verificación en Google Maps,
URU-01259,Impáctate Soluciones Gráficas,Diseño gráfico,compras,Pendiente verificación en Google Maps,
URU-01261,Bombieri MSI - Integración de Sistemas,Tecnología / Sistemas,compras,Pendiente verificación en Google Maps - sin dirección,
URU-01342,Gasista Matriculado Gerardo Herlein,Gas/Gasista Matriculado,oficios_tecnicos,,"Ing. J. Henry 725, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01343,"Chana - Obras, Servicios y Emprendimientos",Construcción/Contratista,oficios_tecnicos,,"Dra. T. Ratto 573, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01344,Mole Construcciones,Materiales de Construcción/Alquiler de Maquinaria,oficios_tecnicos,,"Ruta 39 e/20 y 21 Del Oeste Norte, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01345,Saneamiento Ambiental Chaubicho - Control de Plagas,Control de Plagas/Limpieza de Tanques,oficios_tecnicos,,"Ana U. de Victorica 611, Concepción del Uruguay, Entre Ríos, Argentina"
URU-01519,Apolo: Crossfit y Funcional,Gimnasio/Crossfit,deporte,Verificado (Google Places),"Lucas Piriz 40, Concepción del Uruguay, Entre Ríos"
URU-01520,Aquiles: Crossfit,Gimnasio/Crossfit,deporte,Verificado (Google Places),"Benito Cook 172, Concepción del Uruguay, Entre Ríos"
URU-01521,MAP Entrenamientos,Gimnasio/Entrenamiento funcional,deporte,Verificado (Google Places),"Sta. María de Oro 430, Concepción del Uruguay, Entre Ríos"
URU-01522,Stronger Entrenamiento Funcional,Gimnasio/Entrenamiento funcional,deporte,Verificado (Google Places),"Alberdi y Lucas Piriz, Concepción del Uruguay, Entre Ríos"
URU-01523,ATENEA Training,Gimnasio,deporte,Verificado (Google Places),"Malvinas Argentinas 89, Concepción del Uruguay, Entre Ríos"
URU-01524,Emilia Montañana (EM Gym),Gimnasio,deporte,Verificado (Google Places),"Ereño 691, Concepción del Uruguay, Entre Ríos"
URU-01525,Full Training Gym,Gimnasio,deporte,Verificado (Google Places),"Acceso A Víctor Rodríguez, Concepción del Uruguay, Entre Ríos"
URU-01526,Indómita Gimnasio Femenino,Gimnasio,deporte,Verificado (Google Places),"Ana U. de Victorica 340, Concepción del Uruguay, Entre Ríos"
URU-01527,Novafit,Gimnasio,deporte,Verificado (Google Places),"Suipacha 1723, Concepción del Uruguay, Entre Ríos"
URU-01528,Vital Fitness,Gimnasio,deporte,Verificado (Google Places),"Ruiz Moreno 679, Concepción del Uruguay, Entre Ríos"
